k_gene_id,module,k_species_id,k_species_name,aaseq
bpe:BP0607,md:bpe_M00002,bpe,Bordetella pertussis Tohama I ,
bpe:BP0801,md:bpe_M00002,bpe,Bordetella pertussis Tohama I ,
bpe:BP1000,md:bpe_M00002,bpe,Bordetella pertussis Tohama I ,
bpe:BP1001,md:bpe_M00002,bpe,Bordetella pertussis Tohama I ,
bpe:BP1455,md:bpe_M00002,bpe,Bordetella pertussis Tohama I ,
bpe:BP2386,md:bpe_M00002,bpe,Bordetella pertussis Tohama I ,
bpe:BP3333,md:bpe_M00002,bpe,Bordetella pertussis Tohama I ,
bpe:BP3125,md:bpe_M00005,bpe,Bordetella pertussis Tohama I ,
bpe:BP0999,md:bpe_M00007,bpe,Bordetella pertussis Tohama I ,
bpe:BP1451,md:bpe_M00007,bpe,Bordetella pertussis Tohama I ,
bpe:BP2339,md:bpe_M00007,bpe,Bordetella pertussis Tohama I ,
bpe:BP3266,md:bpe_M00007,bpe,Bordetella pertussis Tohama I ,
bpe:BP0248,md:bpe_M00009,bpe,Bordetella pertussis Tohama I ,
bpe:BP0618,md:bpe_M00009,bpe,Bordetella pertussis Tohama I ,
bpe:BP0995,md:bpe_M00009,bpe,Bordetella pertussis Tohama I ,
bpe:BP1124,md:bpe_M00009,bpe,Bordetella pertussis Tohama I ,
bpe:BP1125,md:bpe_M00009,bpe,Bordetella pertussis Tohama I ,
bpe:BP1126,md:bpe_M00009,bpe,Bordetella pertussis Tohama I ,
bpe:BP1352,md:bpe_M00009,bpe,Bordetella pertussis Tohama I ,
bpe:BP1729,md:bpe_M00009,bpe,Bordetella pertussis Tohama I ,
bpe:BP2014,md:bpe_M00009,bpe,Bordetella pertussis Tohama I ,
bpe:BP2021,md:bpe_M00009,bpe,Bordetella pertussis Tohama I ,
bpe:BP2031,md:bpe_M00009,bpe,Bordetella pertussis Tohama I ,
bpe:BP2358,md:bpe_M00009,bpe,Bordetella pertussis Tohama I ,
bpe:BP2360,md:bpe_M00009,bpe,Bordetella pertussis Tohama I ,
bpe:BP2361,md:bpe_M00009,bpe,Bordetella pertussis Tohama I ,
bpe:BP2362,md:bpe_M00009,bpe,Bordetella pertussis Tohama I ,
bpe:BP2363,md:bpe_M00009,bpe,Bordetella pertussis Tohama I ,
bpe:BP2365,md:bpe_M00009,bpe,Bordetella pertussis Tohama I ,
bpe:BP2488,md:bpe_M00009,bpe,Bordetella pertussis Tohama I ,
bpe:BP2540,md:bpe_M00009,bpe,Bordetella pertussis Tohama I ,
bpe:BP2541,md:bpe_M00009,bpe,Bordetella pertussis Tohama I ,
bpe:BP1352,md:bpe_M00010,bpe,Bordetella pertussis Tohama I ,
bpe:BP2014,md:bpe_M00010,bpe,Bordetella pertussis Tohama I ,
bpe:BP2021,md:bpe_M00010,bpe,Bordetella pertussis Tohama I ,
bpe:BP2358,md:bpe_M00010,bpe,Bordetella pertussis Tohama I ,
bpe:BP2488,md:bpe_M00010,bpe,Bordetella pertussis Tohama I ,
bpe:BP0248,md:bpe_M00011,bpe,Bordetella pertussis Tohama I ,
bpe:BP0618,md:bpe_M00011,bpe,Bordetella pertussis Tohama I ,
bpe:BP0995,md:bpe_M00011,bpe,Bordetella pertussis Tohama I ,
bpe:BP1124,md:bpe_M00011,bpe,Bordetella pertussis Tohama I ,
bpe:BP1125,md:bpe_M00011,bpe,Bordetella pertussis Tohama I ,
bpe:BP1126,md:bpe_M00011,bpe,Bordetella pertussis Tohama I ,
bpe:BP1729,md:bpe_M00011,bpe,Bordetella pertussis Tohama I ,
bpe:BP2031,md:bpe_M00011,bpe,Bordetella pertussis Tohama I ,
bpe:BP2360,md:bpe_M00011,bpe,Bordetella pertussis Tohama I ,
bpe:BP2361,md:bpe_M00011,bpe,Bordetella pertussis Tohama I ,
bpe:BP2362,md:bpe_M00011,bpe,Bordetella pertussis Tohama I ,
bpe:BP2363,md:bpe_M00011,bpe,Bordetella pertussis Tohama I ,
bpe:BP2365,md:bpe_M00011,bpe,Bordetella pertussis Tohama I ,
bpe:BP2540,md:bpe_M00011,bpe,Bordetella pertussis Tohama I ,
bpe:BP2541,md:bpe_M00011,bpe,Bordetella pertussis Tohama I ,
bpe:BP1352,md:bpe_M00012,bpe,Bordetella pertussis Tohama I ,
bpe:BP2014,md:bpe_M00012,bpe,Bordetella pertussis Tohama I ,
bpe:BP2021,md:bpe_M00012,bpe,Bordetella pertussis Tohama I ,
bpe:BP2085,md:bpe_M00012,bpe,Bordetella pertussis Tohama I ,
bpe:BP2358,md:bpe_M00012,bpe,Bordetella pertussis Tohama I ,
bpe:BP2365,md:bpe_M00012,bpe,Bordetella pertussis Tohama I ,
bpe:BP3680,md:bpe_M00012,bpe,Bordetella pertussis Tohama I ,
bpe:BP0746,md:bpe_M00015,bpe,Bordetella pertussis Tohama I ,
bpe:BP1280,md:bpe_M00015,bpe,Bordetella pertussis Tohama I ,
bpe:BP2041,md:bpe_M00015,bpe,Bordetella pertussis Tohama I ,
bpe:BP0451,md:bpe_M00016,bpe,Bordetella pertussis Tohama I ,
bpe:BP0644,md:bpe_M00016,bpe,Bordetella pertussis Tohama I ,
bpe:BP1484,md:bpe_M00016,bpe,Bordetella pertussis Tohama I ,
bpe:BP1570,md:bpe_M00016,bpe,Bordetella pertussis Tohama I ,
bpe:BP1763,md:bpe_M00016,bpe,Bordetella pertussis Tohama I ,
bpe:BP1764,md:bpe_M00016,bpe,Bordetella pertussis Tohama I ,
bpe:BP1913,md:bpe_M00016,bpe,Bordetella pertussis Tohama I ,
bpe:BP2509,md:bpe_M00016,bpe,Bordetella pertussis Tohama I ,
bpe:BP3074,md:bpe_M00016,bpe,Bordetella pertussis Tohama I ,
bpe:BP3539,md:bpe_M00016,bpe,Bordetella pertussis Tohama I ,
bpe:BP3653,md:bpe_M00016,bpe,Bordetella pertussis Tohama I ,
bpe:BP3687,md:bpe_M00016,bpe,Bordetella pertussis Tohama I ,
bpe:BP1084,md:bpe_M00018,bpe,Bordetella pertussis Tohama I ,
bpe:BP1484,md:bpe_M00018,bpe,Bordetella pertussis Tohama I ,
bpe:BP1913,md:bpe_M00018,bpe,Bordetella pertussis Tohama I ,
bpe:BP2783,md:bpe_M00018,bpe,Bordetella pertussis Tohama I ,
bpe:BP2784,md:bpe_M00018,bpe,Bordetella pertussis Tohama I ,
bpe:BP0289,md:bpe_M00019,bpe,Bordetella pertussis Tohama I ,
bpe:BP0467,md:bpe_M00019,bpe,Bordetella pertussis Tohama I ,
bpe:BP0773,md:bpe_M00019,bpe,Bordetella pertussis Tohama I ,
bpe:BP0784,md:bpe_M00019,bpe,Bordetella pertussis Tohama I ,
bpe:BP0789,md:bpe_M00019,bpe,Bordetella pertussis Tohama I ,
bpe:BP0790,md:bpe_M00019,bpe,Bordetella pertussis Tohama I ,
bpe:BP0791,md:bpe_M00019,bpe,Bordetella pertussis Tohama I ,
bpe:BP0860,md:bpe_M00019,bpe,Bordetella pertussis Tohama I ,
bpe:BP1535,md:bpe_M00019,bpe,Bordetella pertussis Tohama I ,
bpe:BP1538,md:bpe_M00019,bpe,Bordetella pertussis Tohama I ,
bpe:BP1860,md:bpe_M00019,bpe,Bordetella pertussis Tohama I ,
bpe:BP3043,md:bpe_M00019,bpe,Bordetella pertussis Tohama I ,
bpe:BP3398,md:bpe_M00019,bpe,Bordetella pertussis Tohama I ,
bpe:BP3453,md:bpe_M00019,bpe,Bordetella pertussis Tohama I ,
bpe:BP3571,md:bpe_M00019,bpe,Bordetella pertussis Tohama I ,
bpe:BP0155,md:bpe_M00020,bpe,Bordetella pertussis Tohama I ,
bpe:BP0863,md:bpe_M00020,bpe,Bordetella pertussis Tohama I ,
bpe:BP0945,md:bpe_M00020,bpe,Bordetella pertussis Tohama I ,
bpe:BP0948,md:bpe_M00022,bpe,Bordetella pertussis Tohama I ,
bpe:BP1462,md:bpe_M00022,bpe,Bordetella pertussis Tohama I ,
bpe:BP2908,md:bpe_M00022,bpe,Bordetella pertussis Tohama I ,
bpe:BP2998,md:bpe_M00022,bpe,Bordetella pertussis Tohama I ,
bpe:BP3004,md:bpe_M00022,bpe,Bordetella pertussis Tohama I ,
bpe:BP3656,md:bpe_M00022,bpe,Bordetella pertussis Tohama I ,
bpe:BP3657,md:bpe_M00022,bpe,Bordetella pertussis Tohama I ,
bpe:BP1490,md:bpe_M00023,bpe,Bordetella pertussis Tohama I ,
bpe:BP3261,md:bpe_M00023,bpe,Bordetella pertussis Tohama I ,
bpe:BP3262,md:bpe_M00023,bpe,Bordetella pertussis Tohama I ,
bpe:BP3263,md:bpe_M00023,bpe,Bordetella pertussis Tohama I ,
bpe:BP3264,md:bpe_M00023,bpe,Bordetella pertussis Tohama I ,
bpe:BP3589,md:bpe_M00023,bpe,Bordetella pertussis Tohama I ,
bpe:BP3590,md:bpe_M00023,bpe,Bordetella pertussis Tohama I ,
bpe:BP0946,md:bpe_M00024,bpe,Bordetella pertussis Tohama I ,
bpe:BP1795,md:bpe_M00024,bpe,Bordetella pertussis Tohama I ,
bpe:BP2858,md:bpe_M00024,bpe,Bordetella pertussis Tohama I ,
bpe:BP0946,md:bpe_M00025,bpe,Bordetella pertussis Tohama I ,
bpe:BP0947,md:bpe_M00025,bpe,Bordetella pertussis Tohama I ,
bpe:BP1795,md:bpe_M00025,bpe,Bordetella pertussis Tohama I ,
bpe:BP2858,md:bpe_M00025,bpe,Bordetella pertussis Tohama I ,
bpe:BP0383,md:bpe_M00028,bpe,Bordetella pertussis Tohama I ,
bpe:BP0451,md:bpe_M00028,bpe,Bordetella pertussis Tohama I ,
bpe:BP0655,md:bpe_M00028,bpe,Bordetella pertussis Tohama I ,
bpe:BP2335,md:bpe_M00028,bpe,Bordetella pertussis Tohama I ,
bpe:BP2960,md:bpe_M00028,bpe,Bordetella pertussis Tohama I ,
bpe:BP3539,md:bpe_M00028,bpe,Bordetella pertussis Tohama I ,
bpe:BP3588,md:bpe_M00028,bpe,Bordetella pertussis Tohama I ,
bpe:BP3807,md:bpe_M00028,bpe,Bordetella pertussis Tohama I ,
bpe:BP2188,md:bpe_M00049,bpe,Bordetella pertussis Tohama I ,
bpe:BP2202,md:bpe_M00049,bpe,Bordetella pertussis Tohama I ,
bpe:BP2769,md:bpe_M00049,bpe,Bordetella pertussis Tohama I ,
bpe:BP2890,md:bpe_M00049,bpe,Bordetella pertussis Tohama I ,
bpe:BP3333,md:bpe_M00049,bpe,Bordetella pertussis Tohama I ,
bpe:BP1437,md:bpe_M00050,bpe,Bordetella pertussis Tohama I ,
bpe:BP1578,md:bpe_M00050,bpe,Bordetella pertussis Tohama I ,
bpe:BP2202,md:bpe_M00050,bpe,Bordetella pertussis Tohama I ,
bpe:BP2624,md:bpe_M00050,bpe,Bordetella pertussis Tohama I ,
bpe:BP2625,md:bpe_M00050,bpe,Bordetella pertussis Tohama I ,
bpe:BP3333,md:bpe_M00050,bpe,Bordetella pertussis Tohama I ,
bpe:BP0949,md:bpe_M00052,bpe,Bordetella pertussis Tohama I ,
bpe:BP2202,md:bpe_M00052,bpe,Bordetella pertussis Tohama I ,
bpe:BP2389,md:bpe_M00052,bpe,Bordetella pertussis Tohama I ,
bpe:BP0700,md:bpe_M00063,bpe,Bordetella pertussis Tohama I ,
bpe:BP0701,md:bpe_M00063,bpe,Bordetella pertussis Tohama I ,
bpe:BP2388,md:bpe_M00063,bpe,Bordetella pertussis Tohama I ,
bpe:BP2768,md:bpe_M00063,bpe,Bordetella pertussis Tohama I ,
bpe:BP0035,md:bpe_M00064,bpe,Bordetella pertussis Tohama I ,
bpe:BP0388,md:bpe_M00064,bpe,Bordetella pertussis Tohama I ,
bpe:BP0954,md:bpe_M00064,bpe,Bordetella pertussis Tohama I ,
bpe:BP0955,md:bpe_M00064,bpe,Bordetella pertussis Tohama I ,
bpe:BP3602,md:bpe_M00064,bpe,Bordetella pertussis Tohama I ,
bpe:BP0883,md:bpe_M00082,bpe,Bordetella pertussis Tohama I ,
bpe:BP0889,md:bpe_M00082,bpe,Bordetella pertussis Tohama I ,
bpe:BP1910,md:bpe_M00082,bpe,Bordetella pertussis Tohama I ,
bpe:BP2442,md:bpe_M00082,bpe,Bordetella pertussis Tohama I ,
bpe:BP2443,md:bpe_M00082,bpe,Bordetella pertussis Tohama I ,
bpe:BP2996,md:bpe_M00082,bpe,Bordetella pertussis Tohama I ,
bpe:BP2997,md:bpe_M00082,bpe,Bordetella pertussis Tohama I ,
bpe:BP3591,md:bpe_M00082,bpe,Bordetella pertussis Tohama I ,
bpe:BP0466,md:bpe_M00083,bpe,Bordetella pertussis Tohama I ,
bpe:BP0772,md:bpe_M00083,bpe,Bordetella pertussis Tohama I ,
bpe:BP0813,md:bpe_M00083,bpe,Bordetella pertussis Tohama I ,
bpe:BP0859,md:bpe_M00083,bpe,Bordetella pertussis Tohama I ,
bpe:BP1002,md:bpe_M00083,bpe,Bordetella pertussis Tohama I ,
bpe:BP1128,md:bpe_M00083,bpe,Bordetella pertussis Tohama I ,
bpe:BP1430,md:bpe_M00083,bpe,Bordetella pertussis Tohama I ,
bpe:BP1668,md:bpe_M00083,bpe,Bordetella pertussis Tohama I ,
bpe:BP1672,md:bpe_M00083,bpe,Bordetella pertussis Tohama I ,
bpe:BP1785,md:bpe_M00083,bpe,Bordetella pertussis Tohama I ,
bpe:BP2439,md:bpe_M00083,bpe,Bordetella pertussis Tohama I ,
bpe:BP2441,md:bpe_M00083,bpe,Bordetella pertussis Tohama I ,
bpe:BP2554,md:bpe_M00083,bpe,Bordetella pertussis Tohama I ,
bpe:BP3010,md:bpe_M00083,bpe,Bordetella pertussis Tohama I ,
bpe:BP3215,md:bpe_M00083,bpe,Bordetella pertussis Tohama I ,
bpe:BP0532,md:bpe_M00086,bpe,Bordetella pertussis Tohama I ,
bpe:BP1099,md:bpe_M00086,bpe,Bordetella pertussis Tohama I ,
bpe:BP2811,md:bpe_M00086,bpe,Bordetella pertussis Tohama I ,
bpe:BP0310,md:bpe_M00087,bpe,Bordetella pertussis Tohama I ,
bpe:BP0625,md:bpe_M00087,bpe,Bordetella pertussis Tohama I ,
bpe:BP0669,md:bpe_M00087,bpe,Bordetella pertussis Tohama I ,
bpe:BP2759,md:bpe_M00087,bpe,Bordetella pertussis Tohama I ,
bpe:BP3198,md:bpe_M00087,bpe,Bordetella pertussis Tohama I ,
bpe:BP3277,md:bpe_M00087,bpe,Bordetella pertussis Tohama I ,
bpe:BP3304,md:bpe_M00087,bpe,Bordetella pertussis Tohama I ,
bpe:BP0792,md:bpe_M00093,bpe,Bordetella pertussis Tohama I ,
bpe:BP1294,md:bpe_M00093,bpe,Bordetella pertussis Tohama I ,
bpe:BP1424,md:bpe_M00093,bpe,Bordetella pertussis Tohama I ,
bpe:BP1360,md:bpe_M00119,bpe,Bordetella pertussis Tohama I ,
bpe:BP1816,md:bpe_M00119,bpe,Bordetella pertussis Tohama I ,
bpe:BP2850,md:bpe_M00119,bpe,Bordetella pertussis Tohama I ,
bpe:BP3398,md:bpe_M00119,bpe,Bordetella pertussis Tohama I ,
bpe:BP3571,md:bpe_M00119,bpe,Bordetella pertussis Tohama I ,
bpe:BP3821,md:bpe_M00119,bpe,Bordetella pertussis Tohama I ,
bpe:BP0097,md:bpe_M00120,bpe,Bordetella pertussis Tohama I ,
bpe:BP1751,md:bpe_M00120,bpe,Bordetella pertussis Tohama I ,
bpe:BP3471,md:bpe_M00120,bpe,Bordetella pertussis Tohama I ,
bpe:BP3817,md:bpe_M00120,bpe,Bordetella pertussis Tohama I ,
bpe:BP2162,md:bpe_M00123,bpe,Bordetella pertussis Tohama I ,
bpe:BP2164,md:bpe_M00123,bpe,Bordetella pertussis Tohama I ,
bpe:BP2165,md:bpe_M00123,bpe,Bordetella pertussis Tohama I ,
bpe:BP2718,md:bpe_M00123,bpe,Bordetella pertussis Tohama I ,
bpe:BP0841,md:bpe_M00144,bpe,Bordetella pertussis Tohama I ,
bpe:BP0842,md:bpe_M00144,bpe,Bordetella pertussis Tohama I ,
bpe:BP0843,md:bpe_M00144,bpe,Bordetella pertussis Tohama I ,
bpe:BP0844,md:bpe_M00144,bpe,Bordetella pertussis Tohama I ,
bpe:BP0845,md:bpe_M00144,bpe,Bordetella pertussis Tohama I ,
bpe:BP0846,md:bpe_M00144,bpe,Bordetella pertussis Tohama I ,
bpe:BP0847,md:bpe_M00144,bpe,Bordetella pertussis Tohama I ,
bpe:BP0848,md:bpe_M00144,bpe,Bordetella pertussis Tohama I ,
bpe:BP0849,md:bpe_M00144,bpe,Bordetella pertussis Tohama I ,
bpe:BP0850,md:bpe_M00144,bpe,Bordetella pertussis Tohama I ,
