k_gene_id,module,k_species_id,k_species_name,ncbi_tax_id,aaseq
nme:NMB0010,md:nme_M00002,nme,Neisseria meningitidis MC58,487,
nme:NMB0089,md:nme_M00002,nme,Neisseria meningitidis MC58,487,
nme:NMB0207,md:nme_M00002,nme,Neisseria meningitidis MC58,487,
nme:NMB1285,md:nme_M00002,nme,Neisseria meningitidis MC58,487,
nme:NMB1604,md:nme_M00002,nme,Neisseria meningitidis MC58,487,
nme:NMB1887,md:nme_M00002,nme,Neisseria meningitidis MC58,487,
nme:NMB2159,md:nme_M00002,nme,Neisseria meningitidis MC58,487,
nme:NMB0015,md:nme_M00004,nme,Neisseria meningitidis MC58,487,
nme:NMB0334,md:nme_M00004,nme,Neisseria meningitidis MC58,487,
nme:NMB0351,md:nme_M00004,nme,Neisseria meningitidis MC58,487,
nme:NMB1244,md:nme_M00004,nme,Neisseria meningitidis MC58,487,
nme:NMB1388,md:nme_M00004,nme,Neisseria meningitidis MC58,487,
nme:NMB1391,md:nme_M00004,nme,Neisseria meningitidis MC58,487,
nme:NMB1392,md:nme_M00004,nme,Neisseria meningitidis MC58,487,
nme:NMB1457,md:nme_M00004,nme,Neisseria meningitidis MC58,487,
nme:NMB1511,md:nme_M00004,nme,Neisseria meningitidis MC58,487,
nme:NMB0875,md:nme_M00005,nme,Neisseria meningitidis MC58,487,
nme:NMB0015,md:nme_M00006,nme,Neisseria meningitidis MC58,487,
nme:NMB1391,md:nme_M00006,nme,Neisseria meningitidis MC58,487,
nme:NMB1392,md:nme_M00006,nme,Neisseria meningitidis MC58,487,
nme:NMB0351,md:nme_M00007,nme,Neisseria meningitidis MC58,487,
nme:NMB1244,md:nme_M00007,nme,Neisseria meningitidis MC58,487,
nme:NMB1457,md:nme_M00007,nme,Neisseria meningitidis MC58,487,
nme:NMB1511,md:nme_M00007,nme,Neisseria meningitidis MC58,487,
nme:NMB1391,md:nme_M00008,nme,Neisseria meningitidis MC58,487,
nme:NMB1392,md:nme_M00008,nme,Neisseria meningitidis MC58,487,
nme:NMB1393,md:nme_M00008,nme,Neisseria meningitidis MC58,487,
nme:NMB1394,md:nme_M00008,nme,Neisseria meningitidis MC58,487,
nme:NMB0920,md:nme_M00009,nme,Neisseria meningitidis MC58,487,
nme:NMB0947,md:nme_M00009,nme,Neisseria meningitidis MC58,487,
nme:NMB0948,md:nme_M00009,nme,Neisseria meningitidis MC58,487,
nme:NMB0949,md:nme_M00009,nme,Neisseria meningitidis MC58,487,
nme:NMB0950,md:nme_M00009,nme,Neisseria meningitidis MC58,487,
nme:NMB0951,md:nme_M00009,nme,Neisseria meningitidis MC58,487,
nme:NMB0954,md:nme_M00009,nme,Neisseria meningitidis MC58,487,
nme:NMB0955,md:nme_M00009,nme,Neisseria meningitidis MC58,487,
nme:NMB0956,md:nme_M00009,nme,Neisseria meningitidis MC58,487,
nme:NMB0957,md:nme_M00009,nme,Neisseria meningitidis MC58,487,
nme:NMB0959,md:nme_M00009,nme,Neisseria meningitidis MC58,487,
nme:NMB0960,md:nme_M00009,nme,Neisseria meningitidis MC58,487,
nme:NMB1344,md:nme_M00009,nme,Neisseria meningitidis MC58,487,
nme:NMB1458,md:nme_M00009,nme,Neisseria meningitidis MC58,487,
nme:NMB1572,md:nme_M00009,nme,Neisseria meningitidis MC58,487,
nme:NMB1613,md:nme_M00009,nme,Neisseria meningitidis MC58,487,
nme:NMB2096,md:nme_M00009,nme,Neisseria meningitidis MC58,487,
nme:NMB0920,md:nme_M00010,nme,Neisseria meningitidis MC58,487,
nme:NMB0954,md:nme_M00010,nme,Neisseria meningitidis MC58,487,
nme:NMB1572,md:nme_M00010,nme,Neisseria meningitidis MC58,487,
nme:NMB0947,md:nme_M00011,nme,Neisseria meningitidis MC58,487,
nme:NMB0948,md:nme_M00011,nme,Neisseria meningitidis MC58,487,
nme:NMB0949,md:nme_M00011,nme,Neisseria meningitidis MC58,487,
nme:NMB0950,md:nme_M00011,nme,Neisseria meningitidis MC58,487,
nme:NMB0951,md:nme_M00011,nme,Neisseria meningitidis MC58,487,
nme:NMB0955,md:nme_M00011,nme,Neisseria meningitidis MC58,487,
nme:NMB0956,md:nme_M00011,nme,Neisseria meningitidis MC58,487,
nme:NMB0957,md:nme_M00011,nme,Neisseria meningitidis MC58,487,
nme:NMB0959,md:nme_M00011,nme,Neisseria meningitidis MC58,487,
nme:NMB0960,md:nme_M00011,nme,Neisseria meningitidis MC58,487,
nme:NMB1344,md:nme_M00011,nme,Neisseria meningitidis MC58,487,
nme:NMB1458,md:nme_M00011,nme,Neisseria meningitidis MC58,487,
nme:NMB1613,md:nme_M00011,nme,Neisseria meningitidis MC58,487,
nme:NMB2096,md:nme_M00011,nme,Neisseria meningitidis MC58,487,
nme:NMB0055,md:nme_M00015,nme,Neisseria meningitidis MC58,487,
nme:NMB1068,md:nme_M00015,nme,Neisseria meningitidis MC58,487,
nme:NMB1069,md:nme_M00015,nme,Neisseria meningitidis MC58,487,
nme:NMB0203,md:nme_M00016,nme,Neisseria meningitidis MC58,487,
nme:NMB0335,md:nme_M00016,nme,Neisseria meningitidis MC58,487,
nme:NMB0760,md:nme_M00016,nme,Neisseria meningitidis MC58,487,
nme:NMB0894,md:nme_M00016,nme,Neisseria meningitidis MC58,487,
nme:NMB0929,md:nme_M00016,nme,Neisseria meningitidis MC58,487,
nme:NMB1371,md:nme_M00016,nme,Neisseria meningitidis MC58,487,
nme:NMB1498,md:nme_M00016,nme,Neisseria meningitidis MC58,487,
nme:NMB1530,md:nme_M00016,nme,Neisseria meningitidis MC58,487,
nme:NMB1976,md:nme_M00016,nme,Neisseria meningitidis MC58,487,
nme:NMB2079,md:nme_M00016,nme,Neisseria meningitidis MC58,487,
nme:NMB1046,md:nme_M00018,nme,Neisseria meningitidis MC58,487,
nme:NMB1228,md:nme_M00018,nme,Neisseria meningitidis MC58,487,
nme:NMB1498,md:nme_M00018,nme,Neisseria meningitidis MC58,487,
nme:NMB2029,md:nme_M00018,nme,Neisseria meningitidis MC58,487,
nme:NMB2079,md:nme_M00018,nme,Neisseria meningitidis MC58,487,
nme:NMB0337,md:nme_M00019,nme,Neisseria meningitidis MC58,487,
nme:NMB1150,md:nme_M00019,nme,Neisseria meningitidis MC58,487,
nme:NMB1188,md:nme_M00019,nme,Neisseria meningitidis MC58,487,
nme:NMB1574,md:nme_M00019,nme,Neisseria meningitidis MC58,487,
nme:NMB1576,md:nme_M00019,nme,Neisseria meningitidis MC58,487,
nme:NMB1577,md:nme_M00019,nme,Neisseria meningitidis MC58,487,
nme:NMB0560,md:nme_M00021,nme,Neisseria meningitidis MC58,487,
nme:NMB0763,md:nme_M00021,nme,Neisseria meningitidis MC58,487,
nme:NMB0307,md:nme_M00022,nme,Neisseria meningitidis MC58,487,
nme:NMB0358,md:nme_M00022,nme,Neisseria meningitidis MC58,487,
nme:NMB1432,md:nme_M00022,nme,Neisseria meningitidis MC58,487,
nme:NMB1446,md:nme_M00022,nme,Neisseria meningitidis MC58,487,
nme:NMB1680,md:nme_M00022,nme,Neisseria meningitidis MC58,487,
nme:NMB1813,md:nme_M00022,nme,Neisseria meningitidis MC58,487,
nme:NMB1814,md:nme_M00022,nme,Neisseria meningitidis MC58,487,
nme:NMB0275,md:nme_M00023,nme,Neisseria meningitidis MC58,487,
nme:NMB0678,md:nme_M00023,nme,Neisseria meningitidis MC58,487,
nme:NMB0688,md:nme_M00023,nme,Neisseria meningitidis MC58,487,
nme:NMB0699,md:nme_M00023,nme,Neisseria meningitidis MC58,487,
nme:NMB0966,md:nme_M00023,nme,Neisseria meningitidis MC58,487,
nme:NMB0967,md:nme_M00023,nme,Neisseria meningitidis MC58,487,
nme:NMB1021,md:nme_M00023,nme,Neisseria meningitidis MC58,487,
nme:NMB0446,md:nme_M00024,nme,Neisseria meningitidis MC58,487,
nme:NMB1678,md:nme_M00024,nme,Neisseria meningitidis MC58,487,
nme:NMB0440,md:nme_M00025,nme,Neisseria meningitidis MC58,487,
nme:NMB0446,md:nme_M00025,nme,Neisseria meningitidis MC58,487,
nme:NMB1678,md:nme_M00025,nme,Neisseria meningitidis MC58,487,
nme:NMB1074,md:nme_M00028,nme,Neisseria meningitidis MC58,487,
nme:NMB1371,md:nme_M00028,nme,Neisseria meningitidis MC58,487,
nme:NMB1787,md:nme_M00028,nme,Neisseria meningitidis MC58,487,
nme:NMB1876,md:nme_M00028,nme,Neisseria meningitidis MC58,487,
nme:NMB2005,md:nme_M00028,nme,Neisseria meningitidis MC58,487,
nme:NMB0089,md:nme_M00049,nme,Neisseria meningitidis MC58,487,
nme:NMB0284,md:nme_M00049,nme,Neisseria meningitidis MC58,487,
nme:NMB0815,md:nme_M00049,nme,Neisseria meningitidis MC58,487,
nme:NMB0823,md:nme_M00049,nme,Neisseria meningitidis MC58,487,
nme:NMB1307,md:nme_M00049,nme,Neisseria meningitidis MC58,487,
nme:NMB0089,md:nme_M00050,nme,Neisseria meningitidis MC58,487,
nme:NMB1201,md:nme_M00050,nme,Neisseria meningitidis MC58,487,
nme:NMB1307,md:nme_M00050,nme,Neisseria meningitidis MC58,487,
nme:NMB1661,md:nme_M00050,nme,Neisseria meningitidis MC58,487,
nme:NMB1920,md:nme_M00050,nme,Neisseria meningitidis MC58,487,
nme:NMB0106,md:nme_M00051,nme,Neisseria meningitidis MC58,487,
nme:NMB0107,md:nme_M00051,nme,Neisseria meningitidis MC58,487,
nme:NMB0221,md:nme_M00051,nme,Neisseria meningitidis MC58,487,
nme:NMB0682,md:nme_M00051,nme,Neisseria meningitidis MC58,487,
nme:NMB0824,md:nme_M00051,nme,Neisseria meningitidis MC58,487,
nme:NMB1849,md:nme_M00051,nme,Neisseria meningitidis MC58,487,
nme:NMB1855,md:nme_M00051,nme,Neisseria meningitidis MC58,487,
nme:NMB1874,md:nme_M00051,nme,Neisseria meningitidis MC58,487,
nme:NMB1300,md:nme_M00052,nme,Neisseria meningitidis MC58,487,
nme:NMB1307,md:nme_M00052,nme,Neisseria meningitidis MC58,487,
nme:NMB1554,md:nme_M00052,nme,Neisseria meningitidis MC58,487,
nme:NMB0352,md:nme_M00063,nme,Neisseria meningitidis MC58,487,
nme:NMB0353,md:nme_M00063,nme,Neisseria meningitidis MC58,487,
nme:NMB0675,md:nme_M00063,nme,Neisseria meningitidis MC58,487,
nme:NMB1283,md:nme_M00063,nme,Neisseria meningitidis MC58,487,
nme:NMB0825,md:nme_M00064,nme,Neisseria meningitidis MC58,487,
nme:NMB0828,md:nme_M00064,nme,Neisseria meningitidis MC58,487,
nme:NMB2033,md:nme_M00064,nme,Neisseria meningitidis MC58,487,
nme:NMB2076,md:nme_M00064,nme,Neisseria meningitidis MC58,487,
nme:NMB2090,md:nme_M00064,nme,Neisseria meningitidis MC58,487,
nme:NMB0679,md:nme_M00082,nme,Neisseria meningitidis MC58,487,
nme:NMB1139,md:nme_M00082,nme,Neisseria meningitidis MC58,487,
nme:NMB1177,md:nme_M00082,nme,Neisseria meningitidis MC58,487,
nme:NMB1860,md:nme_M00082,nme,Neisseria meningitidis MC58,487,
nme:NMB1861,md:nme_M00082,nme,Neisseria meningitidis MC58,487,
nme:NMB1916,md:nme_M00082,nme,Neisseria meningitidis MC58,487,
nme:NMB1918,md:nme_M00082,nme,Neisseria meningitidis MC58,487,
nme:NMB0179,md:nme_M00083,nme,Neisseria meningitidis MC58,487,
nme:NMB0219,md:nme_M00083,nme,Neisseria meningitidis MC58,487,
nme:NMB0336,md:nme_M00083,nme,Neisseria meningitidis MC58,487,
nme:NMB1702,md:nme_M00083,nme,Neisseria meningitidis MC58,487,
nme:NMB1703,md:nme_M00083,nme,Neisseria meningitidis MC58,487,
nme:NMB1921,md:nme_M00083,nme,Neisseria meningitidis MC58,487,
nme:NMB1276,md:nme_M00086,nme,Neisseria meningitidis MC58,487,
nme:NMB1555,md:nme_M00086,nme,Neisseria meningitidis MC58,487,
nme:NMB0185,md:nme_M00093,nme,Neisseria meningitidis MC58,487,
nme:NMB0963,md:nme_M00093,nme,Neisseria meningitidis MC58,487,
nme:NMB1318,md:nme_M00093,nme,Neisseria meningitidis MC58,487,
nme:NMB0392,md:nme_M00115,nme,Neisseria meningitidis MC58,487,
nme:NMB0394,md:nme_M00115,nme,Neisseria meningitidis MC58,487,
nme:NMB0396,md:nme_M00115,nme,Neisseria meningitidis MC58,487,
nme:NMB1364,md:nme_M00115,nme,Neisseria meningitidis MC58,487,
nme:NMB2024,md:nme_M00115,nme,Neisseria meningitidis MC58,487,
nme:NMB1037,md:nme_M00118,nme,Neisseria meningitidis MC58,487,
nme:NMB1559,md:nme_M00118,nme,Neisseria meningitidis MC58,487,
nme:NMB0331,md:nme_M00120,nme,Neisseria meningitidis MC58,487,
nme:NMB1658,md:nme_M00120,nme,Neisseria meningitidis MC58,487,
nme:NMB2019,md:nme_M00120,nme,Neisseria meningitidis MC58,487,
nme:NMB2075,md:nme_M00120,nme,Neisseria meningitidis MC58,487,
nme:NMB0472,md:nme_M00123,nme,Neisseria meningitidis MC58,487,
nme:NMB0732,md:nme_M00123,nme,Neisseria meningitidis MC58,487,
nme:NMB0733,md:nme_M00123,nme,Neisseria meningitidis MC58,487,
nme:NMB1146,md:nme_M00123,nme,Neisseria meningitidis MC58,487,
nme:NMB1184,md:nme_M00123,nme,Neisseria meningitidis MC58,487,
nme:NMB0308,md:nme_M00126,nme,Neisseria meningitidis MC58,487,
nme:NMB0642,md:nme_M00126,nme,Neisseria meningitidis MC58,487,
nme:NMB0693,md:nme_M00126,nme,Neisseria meningitidis MC58,487,
nme:NMB0745,md:nme_M00126,nme,Neisseria meningitidis MC58,487,
nme:NMB0803,md:nme_M00126,nme,Neisseria meningitidis MC58,487,
