,aadA1,aadA7,ant(6)-Ia,aph(3'')-Ib,aph(6)-Id,dfrA20,erm(F),estT,floR,lnu(B),lnu(F),lnu(H),lnu(P),lsa(E),mef(A),sat2,sul2,tet(B),tet(Q),tet(W),tet(X2),tet(X5)
aadA1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
aadA7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ant(6)-Ia,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aph(3'')-Ib,,,,,4,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1
aph(6)-Id,,,,,,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1
dfrA20,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
erm(F),,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
estT,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
floR,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1
lnu(B),,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0
lnu(F),,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
lnu(H),,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
lnu(P),,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
lsa(E),,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
mef(A),,,,,,,,,,,,,,,,0,0,0,1,0,0,0
sat2,,,,,,,,,,,,,,,,,0,0,0,0,0,0
sul2,,,,,,,,,,,,,,,,,,0,0,0,0,1
tet(B),,,,,,,,,,,,,,,,,,,0,0,0,0
tet(Q),,,,,,,,,,,,,,,,,,,,0,0,0
tet(W),,,,,,,,,,,,,,,,,,,,,0,0
tet(X2),,,,,,,,,,,,,,,,,,,,,,0
tet(X5),,,,,,,,,,,,,,,,,,,,,,
