,aadA1,aadA7,ant(6)-Ia,aph(3'')-Ib,aph(6)-Id,dfrA20,erm(F),estT,floR,lnu(B),lnu(F),lnu(H),lnu(P),lsa(E),mef(A),sat2,sul2,tet(B),tet(Q),tet(W),tet(X2),tet(X5)
aadA1,1.0,-0.14371941641709604,-0.14371941641709604,-0.29577211887646837,-0.29577211887646837,-0.2051584399585157,-0.14371941641709604,-0.14371941641709604,-0.2051584399585157,-0.14371941641709604,-0.14371941641709604,-0.2051584399585157,-0.14371941641709604,-0.14371941641709604,-0.29577211887646837,0.12885189058084473,-0.3687069949007968,0.12885189058084473,-0.14371941641709604,-0.14371941641709604,-0.14371941641709604,-0.14371941641709604
aadA7,-0.14371941641709604,1.0,-0.018518518518518517,-0.038110796698335295,-0.038110796698335295,-0.02643505285727147,-0.018518518518518517,-0.018518518518518517,-0.02643505285727147,-0.018518518518518517,-0.018518518518518517,-0.02643505285727147,-0.018518518518518517,-0.018518518518518517,-0.038110796698335295,-0.018518518518518517,-0.0601929265428846,-0.018518518518518517,-0.018518518518518517,-0.018518518518518517,-0.018518518518518517,-0.018518518518518517
ant(6)-Ia,-0.14371941641709604,-0.018518518518518517,1.0,-0.038110796698335295,-0.038110796698335295,-0.02643505285727147,-0.018518518518518517,-0.018518518518518517,-0.02643505285727147,-0.018518518518518517,-0.018518518518518517,-0.02643505285727147,-0.018518518518518517,-0.018518518518518517,-0.038110796698335295,-0.018518518518518517,-0.0601929265428846,-0.018518518518518517,-0.018518518518518517,-0.018518518518518517,-0.018518518518518517,-0.018518518518518517
aph(3'')-Ib,-0.29577211887646837,-0.038110796698335295,-0.038110796698335295,1.0,0.9999999999999999,-0.054402889958273914,-0.038110796698335295,-0.038110796698335295,0.31961697850485926,-0.038110796698335295,-0.038110796698335295,-0.054402889958273914,-0.038110796698335295,-0.038110796698335295,-0.07843137254901959,-0.038110796698335295,0.6331441065784228,-0.038110796698335295,-0.038110796698335295,-0.038110796698335295,-0.038110796698335295,0.48591265790377497
aph(6)-Id,-0.29577211887646837,-0.038110796698335295,-0.038110796698335295,0.9999999999999999,1.0,-0.054402889958273914,-0.038110796698335295,-0.038110796698335295,0.31961697850485926,-0.038110796698335295,-0.038110796698335295,-0.054402889958273914,-0.038110796698335295,-0.038110796698335295,-0.07843137254901959,-0.038110796698335295,0.6331441065784228,-0.038110796698335295,-0.038110796698335295,-0.038110796698335295,-0.038110796698335295,0.48591265790377497
dfrA20,-0.2051584399585157,-0.02643505285727147,-0.02643505285727147,-0.054402889958273914,-0.054402889958273914,1.0,-0.02643505285727147,-0.02643505285727147,-0.037735849056603765,-0.02643505285727147,-0.02643505285727147,-0.037735849056603765,-0.02643505285727147,-0.02643505285727147,-0.054402889958273914,-0.02643505285727147,-0.08592497251893072,-0.02643505285727147,-0.02643505285727147,-0.02643505285727147,-0.02643505285727147,-0.02643505285727147
erm(F),-0.14371941641709604,-0.018518518518518517,-0.018518518518518517,-0.038110796698335295,-0.038110796698335295,-0.02643505285727147,1.0,-0.018518518518518517,-0.02643505285727147,-0.018518518518518517,-0.018518518518518517,-0.02643505285727147,-0.018518518518518517,-0.018518518518518517,-0.038110796698335295,-0.018518518518518517,-0.0601929265428846,-0.018518518518518517,-0.018518518518518517,-0.018518518518518517,-0.018518518518518517,-0.018518518518518517
estT,-0.14371941641709604,-0.018518518518518517,-0.018518518518518517,-0.038110796698335295,-0.038110796698335295,-0.02643505285727147,-0.018518518518518517,1.0,-0.02643505285727147,-0.018518518518518517,-0.018518518518518517,-0.02643505285727147,-0.018518518518518517,-0.018518518518518517,-0.038110796698335295,-0.018518518518518517,-0.0601929265428846,-0.018518518518518517,-0.018518518518518517,-0.018518518518518517,-0.018518518518518517,-0.018518518518518517
floR,-0.2051584399585157,-0.02643505285727147,-0.02643505285727147,0.31961697850485926,0.31961697850485926,-0.037735849056603765,-0.02643505285727147,-0.02643505285727147,1.0,-0.02643505285727147,-0.02643505285727147,-0.037735849056603765,-0.02643505285727147,-0.02643505285727147,-0.054402889958273914,-0.02643505285727147,0.17662355462224646,-0.02643505285727147,-0.02643505285727147,-0.02643505285727147,-0.02643505285727147,0.7005289007176939
lnu(B),-0.14371941641709604,-0.018518518518518517,-0.018518518518518517,-0.038110796698335295,-0.038110796698335295,-0.02643505285727147,-0.018518518518518517,-0.018518518518518517,-0.02643505285727147,1.0,-0.018518518518518517,-0.02643505285727147,-0.018518518518518517,1.0,-0.038110796698335295,-0.018518518518518517,-0.0601929265428846,-0.018518518518518517,-0.018518518518518517,-0.018518518518518517,-0.018518518518518517,-0.018518518518518517
lnu(F),-0.14371941641709604,-0.018518518518518517,-0.018518518518518517,-0.038110796698335295,-0.038110796698335295,-0.02643505285727147,-0.018518518518518517,-0.018518518518518517,-0.02643505285727147,-0.018518518518518517,1.0,-0.02643505285727147,-0.018518518518518517,-0.018518518518518517,-0.038110796698335295,-0.018518518518518517,-0.0601929265428846,-0.018518518518518517,-0.018518518518518517,-0.018518518518518517,-0.018518518518518517,-0.018518518518518517
lnu(H),-0.2051584399585157,-0.02643505285727147,-0.02643505285727147,-0.054402889958273914,-0.054402889958273914,-0.037735849056603765,-0.02643505285727147,-0.02643505285727147,-0.037735849056603765,-0.02643505285727147,-0.02643505285727147,1.0,-0.02643505285727147,-0.02643505285727147,-0.054402889958273914,-0.02643505285727147,-0.08592497251893072,-0.02643505285727147,-0.02643505285727147,-0.02643505285727147,-0.02643505285727147,-0.02643505285727147
lnu(P),-0.14371941641709604,-0.018518518518518517,-0.018518518518518517,-0.038110796698335295,-0.038110796698335295,-0.02643505285727147,-0.018518518518518517,-0.018518518518518517,-0.02643505285727147,-0.018518518518518517,-0.018518518518518517,-0.02643505285727147,1.0,-0.018518518518518517,-0.038110796698335295,-0.018518518518518517,-0.0601929265428846,-0.018518518518518517,-0.018518518518518517,-0.018518518518518517,-0.018518518518518517,-0.018518518518518517
lsa(E),-0.14371941641709604,-0.018518518518518517,-0.018518518518518517,-0.038110796698335295,-0.038110796698335295,-0.02643505285727147,-0.018518518518518517,-0.018518518518518517,-0.02643505285727147,1.0,-0.018518518518518517,-0.02643505285727147,-0.018518518518518517,1.0,-0.038110796698335295,-0.018518518518518517,-0.0601929265428846,-0.018518518518518517,-0.018518518518518517,-0.018518518518518517,-0.018518518518518517,-0.018518518518518517
mef(A),-0.29577211887646837,-0.038110796698335295,-0.038110796698335295,-0.07843137254901959,-0.07843137254901959,-0.054402889958273914,-0.038110796698335295,-0.038110796698335295,-0.054402889958273914,-0.038110796698335295,-0.038110796698335295,-0.054402889958273914,-0.038110796698335295,-0.038110796698335295,1.0,-0.038110796698335295,-0.12387602085230011,-0.038110796698335295,0.48591265790377497,-0.038110796698335295,-0.038110796698335295,-0.038110796698335295
sat2,0.12885189058084473,-0.018518518518518517,-0.018518518518518517,-0.038110796698335295,-0.038110796698335295,-0.02643505285727147,-0.018518518518518517,-0.018518518518518517,-0.02643505285727147,-0.018518518518518517,-0.018518518518518517,-0.02643505285727147,-0.018518518518518517,-0.018518518518518517,-0.038110796698335295,1.0,-0.0601929265428846,-0.018518518518518517,-0.018518518518518517,-0.018518518518518517,-0.018518518518518517,-0.018518518518518517
sul2,-0.3687069949007968,-0.0601929265428846,-0.0601929265428846,0.6331441065784228,0.6331441065784228,-0.08592497251893072,-0.0601929265428846,-0.0601929265428846,0.17662355462224646,-0.0601929265428846,-0.0601929265428846,-0.08592497251893072,-0.0601929265428846,-0.0601929265428846,-0.12387602085230011,-0.0601929265428846,1.0,-0.0601929265428846,-0.0601929265428846,-0.0601929265428846,-0.0601929265428846,0.3076527356636324
tet(B),0.12885189058084473,-0.018518518518518517,-0.018518518518518517,-0.038110796698335295,-0.038110796698335295,-0.02643505285727147,-0.018518518518518517,-0.018518518518518517,-0.02643505285727147,-0.018518518518518517,-0.018518518518518517,-0.02643505285727147,-0.018518518518518517,-0.018518518518518517,-0.038110796698335295,-0.018518518518518517,-0.0601929265428846,1.0,-0.018518518518518517,-0.018518518518518517,-0.018518518518518517,-0.018518518518518517
tet(Q),-0.14371941641709604,-0.018518518518518517,-0.018518518518518517,-0.038110796698335295,-0.038110796698335295,-0.02643505285727147,-0.018518518518518517,-0.018518518518518517,-0.02643505285727147,-0.018518518518518517,-0.018518518518518517,-0.02643505285727147,-0.018518518518518517,-0.018518518518518517,0.48591265790377497,-0.018518518518518517,-0.0601929265428846,-0.018518518518518517,1.0,-0.018518518518518517,-0.018518518518518517,-0.018518518518518517
tet(W),-0.14371941641709604,-0.018518518518518517,-0.018518518518518517,-0.038110796698335295,-0.038110796698335295,-0.02643505285727147,-0.018518518518518517,-0.018518518518518517,-0.02643505285727147,-0.018518518518518517,-0.018518518518518517,-0.02643505285727147,-0.018518518518518517,-0.018518518518518517,-0.038110796698335295,-0.018518518518518517,-0.0601929265428846,-0.018518518518518517,-0.018518518518518517,1.0,-0.018518518518518517,-0.018518518518518517
tet(X2),-0.14371941641709604,-0.018518518518518517,-0.018518518518518517,-0.038110796698335295,-0.038110796698335295,-0.02643505285727147,-0.018518518518518517,-0.018518518518518517,-0.02643505285727147,-0.018518518518518517,-0.018518518518518517,-0.02643505285727147,-0.018518518518518517,-0.018518518518518517,-0.038110796698335295,-0.018518518518518517,-0.0601929265428846,-0.018518518518518517,-0.018518518518518517,-0.018518518518518517,1.0,-0.018518518518518517
tet(X5),-0.14371941641709604,-0.018518518518518517,-0.018518518518518517,0.48591265790377497,0.48591265790377497,-0.02643505285727147,-0.018518518518518517,-0.018518518518518517,0.7005289007176939,-0.018518518518518517,-0.018518518518518517,-0.02643505285727147,-0.018518518518518517,-0.018518518518518517,-0.038110796698335295,-0.018518518518518517,0.3076527356636324,-0.018518518518518517,-0.018518518518518517,-0.018518518518518517,-0.018518518518518517,1.0
