,aadA1,aadA7,ant(6)-Ia,aph(3'')-Ib,aph(6)-Id,dfrA20,erm(F),estT,floR,lnu(B),lnu(F),lnu(H),lnu(P),lsa(E),mef(A),sat2,sul2,tet(B),tet(Q),tet(W),tet(X2),tet(X5)
aadA1,17.136363636363573,4.585955923854595,4.585955923854591,0.8913496127959029,0.89134961279589,6.425189324155308,4.5859559238545895,4.585955923854592,6.425189324155292,2.292977961927296,4.585955923854595,6.425189324155315,4.585955923854592,2.2929779619272947,8.91349612795899,-4.47849731431899e-15,10.158349576368288,1.4798215903697943e-15,8.783775005941476e-17,4.585955923854592,4.585955923854592,-4.585955923854577
aadA7,4.585955923854586,2.2468531468531405,1.2650349650349584,0.2385389411527619,0.2385389411527584,1.7723871068507715,1.265034965034957,1.2650349650349584,1.772387106850767,0.6325174825174791,1.265034965034959,1.772387106850773,1.265034965034958,0.6325174825174787,2.458786008805383,0.03776223776223631,2.8230903478168985,0.03776223776223794,2.4061371604123777e-16,1.2650349650349582,1.2650349650349582,-1.265034965034954
ant(6)-Ia,4.585955923854593,1.2650349650349615,2.246853146853142,0.23853894115276233,0.2385389411527585,1.7723871068507744,1.2650349650349593,1.26503496503496,1.77238710685077,0.63251748251748,1.2650349650349608,1.772387106850776,1.2650349650349597,0.6325174825174797,2.4587860088053866,0.03776223776223622,2.823090347816903,0.037762237762238055,1.0521520914942611e-16,1.2650349650349606,1.2650349650349602,-1.265034965034956
aph(3'')-Ib,0.8913496127960299,0.23853894115279758,0.23853894115279778,0.5409090909090971,0.5409090909090966,0.33420684444826426,0.23853894115279822,0.23853894115279756,0.3342068444482656,0.11926947057639875,0.23853894115279808,0.3342068444482645,0.2385389411527979,0.11926947057639847,0.4636363636364333,6.364628604152457e-16,7.962707613508388e-14,5.950411579213549e-16,-1.22486509230642e-15,0.23853894115279803,0.2385389411527978,-0.5565908626898156
aph(6)-Id,0.8913496127957626,0.23853894115272406,0.23853894115272317,0.5409090909090841,0.5409090909090836,0.33420684444815985,0.23853894115272256,0.2385389411527236,0.33420684444815696,0.1192694705763619,0.23853894115272328,0.33420684444816007,0.23853894115272337,0.11926947057636161,0.4636363636362878,-1.2323297284307323e-15,-8.740715714667102e-14,-5.789946787960073e-16,7.393535389628129e-16,0.23853894115272326,0.23853894115272348,-0.556590862689736
dfrA20,6.425189324155302,1.7723871068507737,1.772387106850772,0.3342068444482145,0.33420684444820964,3.4468531468531345,1.7723871068507708,1.7723871068507724,2.483216783216765,0.8861935534253862,1.7723871068507733,2.4832167832167733,1.772387106850772,0.8861935534253856,3.4449013196969633,0.05290707781643992,3.9553127559658097,0.052907077816442966,6.858734989194024e-16,1.772387106850772,1.7723871068507724,-1.7723871068507666
erm(F),4.585955923854591,1.26503496503496,1.2650349650349595,0.23853894115276242,0.23853894115275884,1.7723871068507737,2.2468531468531405,1.2650349650349597,1.7723871068507693,0.63251748251748,1.2650349650349606,1.7723871068507753,1.2650349650349597,0.6325174825174794,2.458786008805386,0.0377622377622363,2.8230903478169016,0.03776223776223806,1.3067783696722388e-16,1.2650349650349597,1.2650349650349597,-1.2650349650349557
estT,4.58595592385459,1.2650349650349604,1.2650349650349593,0.2385389411527623,0.23853894115275884,1.7723871068507733,1.2650349650349584,2.2468531468531405,1.772387106850768,0.6325174825174797,1.26503496503496,1.7723871068507753,1.26503496503496,0.6325174825174794,2.4587860088053857,0.03776223776223615,2.8230903478169016,0.03776223776223816,-7.863545404890854e-17,1.2650349650349597,1.2650349650349595,-1.265034965034955
floR,6.4251893241553075,1.7723871068507746,1.772387106850774,0.33420684444821436,0.33420684444821,2.483216783216773,1.7723871068507728,1.772387106850774,4.410489510489494,0.8861935534253872,1.7723871068507748,2.483216783216775,1.7723871068507737,0.8861935534253863,3.444901319696967,0.05290707781643993,3.955312755965813,0.052907077816442216,-1.1451085738890137e-16,1.772387106850774,1.772387106850774,-3.1479711300782403
lnu(B),2.29297796192726,0.6325174825174713,0.6325174825174698,0.1192694705763793,0.11926947057637748,0.8861935534253728,0.6325174825174685,0.6325174825174703,0.8861935534253699,0.5617132867132807,0.6325174825174702,0.8861935534253736,0.6325174825174698,0.5617132867132805,1.2293930044026733,0.018881118881117948,1.4115451739084288,0.018881118881119385,2.2910895602576977e-16,0.6325174825174698,0.6325174825174701,-0.6325174825174668
lnu(F),4.585955923854592,1.2650349650349606,1.26503496503496,0.2385389411527625,0.2385389411527588,1.772387106850774,1.2650349650349593,1.2650349650349597,1.7723871068507695,0.6325174825174799,2.246853146853142,1.7723871068507755,1.26503496503496,0.6325174825174797,2.4587860088053866,0.037762237762236375,2.823090347816902,0.03776223776223787,-1.6654812700187137e-16,1.26503496503496,1.2650349650349602,-1.265034965034956
lnu(H),6.425189324155302,1.772387106850773,1.7723871068507724,0.33420684444821447,0.33420684444820953,2.4832167832167715,1.7723871068507715,1.7723871068507722,2.4832167832167653,0.8861935534253862,1.7723871068507737,3.446853146853137,1.7723871068507724,0.8861935534253857,3.444901319696964,0.05290707781644068,3.95531275596581,0.05290707781644239,7.286533362417613e-16,1.7723871068507728,1.7723871068507724,-1.772387106850767
lnu(P),4.585955923854592,1.2650349650349606,1.2650349650349602,0.23853894115276242,0.23853894115275878,1.772387106850774,1.2650349650349593,1.2650349650349602,1.7723871068507693,0.6325174825174803,1.2650349650349606,1.7723871068507757,2.246853146853141,0.6325174825174793,2.4587860088053866,0.03776223776223652,2.823090347816902,0.03776223776223775,4.161869011534548e-17,1.2650349650349595,1.26503496503496,-1.2650349650349557
lsa(E),2.2929779619273325,0.6325174825174896,0.6325174825174901,0.11926947057638292,0.1192694705763811,0.8861935534254012,0.6325174825174906,0.6325174825174897,0.8861935534253997,0.5617132867132907,0.6325174825174907,0.8861935534254022,0.6325174825174902,0.5617132867132905,1.229393004402713,0.018881118881118986,1.4115451739084741,0.018881118881119194,-3.1709823529181936e-16,0.6325174825174903,0.6325174825174901,-0.6325174825174888
mef(A),8.91349612795899,2.458786008805388,2.4587860088053866,0.4636363636363642,0.46363636363635685,3.444901319696968,2.458786008805385,2.458786008805386,3.444901319696958,1.2293930044026933,2.458786008805388,3.444901319696971,2.4587860088053866,1.2293930044026924,6.015384615384598,0.07339659727777074,5.487101337640816,0.07339659727777388,-0.6361038430740323,2.4587860088053866,2.4587860088053866,-2.458786008805378
sat2,-4.0287385530264843e-16,0.03776223776223754,0.03776223776223792,1.5592458740772013e-16,-9.979564048398733e-17,0.0529070778164413,0.03776223776223781,0.0377622377622377,0.05290707781644123,0.01888111888111887,0.03776223776223779,0.052907077816441314,0.037762237762237805,0.01888111888111881,0.0733965972777728,1.0195804195804197,0.10455890177099673,0.03776223776223827,-2.7577604005642036e-16,0.037762237762237916,0.037762237762237715,-0.03776223776223786
sul2,10.158349576368288,2.823090347816904,2.8230903478169016,4.749570625009694e-16,-7.48571099923796e-15,3.9553127559658137,2.8230903478169003,2.8230903478169016,3.9553127559658035,1.411545173908451,2.823090347816904,3.9553127559658177,2.8230903478169016,1.4115451739084504,5.487101337640815,0.10455890177099453,7.816783216783198,0.10455890177099808,4.462602175378678e-16,2.823090347816902,2.823090347816902,-2.823090347816893
tet(B),1.0431314094848945e-15,0.03776223776223827,0.03776223776223832,1.5865694651092305e-16,1.5360426089786304e-16,0.052907077816441994,0.037762237762238166,0.0377622377622382,0.052907077816441814,0.01888111888111904,0.03776223776223821,0.05290707781644177,0.03776223776223817,0.018881118881119107,0.07339659727777359,0.03776223776223823,0.10455890177099766,1.0195804195804201,-2.695799644376414e-16,0.03776223776223808,0.037762237762238256,-0.03776223776223843
tet(Q),2.923475945335563e-15,9.92141833186214e-16,4.878012872804387e-16,-2.096353230024855e-16,2.320646334498485e-16,1.0913494104606614e-15,1.0065811406877377e-15,9.52707178842223e-16,1.8344058933165414e-15,-1.256055641435914e-16,9.435695758588634e-16,1.1008297801095708e-15,8.00051512956264e-16,1.2182452398484148e-16,-0.6361038430740306,-3.2422879717791333e-16,2.076988595741881e-15,-2.1661593915778656e-16,1.309090909090909,8.7948234133795505e-16,9.280545986653056e-16,-1.1887969198845982e-15
tet(W),4.585955923854591,1.2650349650349606,1.2650349650349595,0.2385389411527624,0.23853894115275873,1.7723871068507737,1.265034965034959,1.2650349650349593,1.7723871068507693,0.63251748251748,1.2650349650349606,1.7723871068507753,1.2650349650349595,0.6325174825174795,2.458786008805386,0.03776223776223629,2.8230903478169016,0.037762237762237943,4.047221621642991e-17,2.2468531468531414,1.2650349650349597,-1.2650349650349557
tet(X2),4.585955923854592,1.2650349650349606,1.2650349650349597,0.2385389411527624,0.2385389411527588,1.772387106850774,1.265034965034959,1.26503496503496,1.7723871068507695,0.6325174825174801,1.2650349650349608,1.7723871068507757,1.26503496503496,0.6325174825174795,2.4587860088053866,0.03776223776223623,2.823090347816902,0.03776223776223804,1.1100762915441776e-16,1.2650349650349602,2.2468531468531414,-1.2650349650349557
tet(X5),-4.5859559238545895,-1.2650349650349602,-1.2650349650349597,-0.5565908626897779,-0.5565908626897751,-1.7723871068507726,-1.2650349650349586,-1.2650349650349595,-3.14797113007824,-0.63251748251748,-1.2650349650349602,-1.7723871068507742,-1.2650349650349595,-0.6325174825174791,-2.4587860088053852,-0.0377622377622372,-2.8230903478169007,-0.037762237762238686,2.9167504357495837e-16,-1.2650349650349597,-1.2650349650349597,3.5559440559440456
