,aadA1,aadA7,ant(6)-Ia,aph(3'')-Ib,aph(6)-Id,dfrA20,erm(F),estT,floR,lnu(B),lnu(F),lnu(H),lnu(P),lsa(E),mef(A),sat2,sul2,tet(B),tet(Q),tet(W),tet(X2),tet(X5)
aadA1,1,-0.7390659560519331,-0.7390659560519323,-0.292770021884559,-0.2927700218845584,-0.8360171835451682,-0.7390659560519323,-0.7390659560519327,-0.7390659560519311,-0.7390659560519356,-0.7390659560519328,-0.8360171835451686,-0.7390659560519326,-0.7390659560519287,-0.8779242496606936,1.07142614578202e-15,-0.8777074514725107,-3.540293611309276e-16,-1.8545432446203162e-17,-0.7390659560519325,-0.7390659560519325,0.5874799940107146
aadA7,-0.7390659560519331,1,-0.5630252100840321,-0.21637635612745637,-0.2163763561274559,-0.6368832802336577,-0.5630252100840316,-0.5630252100840323,-0.5630252100840311,-0.5630252100840344,-0.5630252100840323,-0.636883280233658,-0.563025210084032,-0.5630252100840292,-0.6688083533756294,-0.024949372952169733,-0.6736330697086064,-0.024949372952170805,-1.402969187143407e-16,-0.5630252100840321,-0.5630252100840321,0.4475460469252168
ant(6)-Ia,-0.7390659560519323,-0.5630252100840321,1,-0.21637635612745673,-0.21637635612745598,-0.6368832802336586,-0.5630252100840324,-0.5630252100840327,-0.5630252100840318,-0.5630252100840349,-0.563025210084033,-0.6368832802336588,-0.5630252100840326,-0.5630252100840298,-0.66880835337563,-0.024949372952169667,-0.6736330697086071,-0.024949372952170874,-6.134882868863344e-17,-0.5630252100840331,-0.5630252100840328,0.4475460469252174
aph(3'')-Ib,-0.292770021884559,-0.21637635612745637,-0.21637635612745673,1,-1.0000000000000115,-0.24476076912242256,-0.21637635612748934,-0.21637635612748873,-0.21637635612748993,-0.21637635612748957,-0.21637635612748918,-0.24476076912242264,-0.21637635612748904,-0.21637635612748718,-0.25702990178618473,-8.570382058766791e-16,-3.872439084087063e-14,-8.01261217465194e-16,1.4555972084171513e-15,-0.21637635612748912,-0.21637635612748893,0.40132523830762856
aph(6)-Id,-0.2927700218845584,-0.2163763561274559,-0.21637635612745598,-1.0000000000000115,1,-0.24476076912234918,-0.2163763561274234,-0.21637635612742434,-0.2163763561274223,-0.21637635612742542,-0.216376356127424,-0.24476076912234926,-0.21637635612742415,-0.216376356127423,-0.2570299017861073,1.659411295128391e-15,4.250801460918874e-14,7.796536005317458e-16,-8.786281477914761e-16,-0.216376356127424,-0.2163763561274242,0.4013252383075762
dfrA20,-0.8360171835451682,-0.6368832802336577,-0.6368832802336586,-0.24476076912242256,-0.24476076912234918,1,-0.6368832802336575,-0.636883280233658,-0.6368832802336567,-0.6368832802336606,-0.6368832802336581,-0.7204301075268812,-0.6368832802336578,-0.6368832802336546,-0.7565431357540247,-0.028222250444486133,-0.7620007620011419,-0.02822225044448775,-3.2288489523082034e-16,-0.6368832802336577,-0.6368832802336578,0.5062554736737224
erm(F),-0.7390659560519323,-0.5630252100840316,-0.5630252100840324,-0.21637635612748934,-0.2163763561274234,-0.6368832802336575,1,-0.5630252100840328,-0.5630252100840317,-0.5630252100840352,-0.5630252100840331,-0.6368832802336588,-0.5630252100840327,-0.5630252100840297,-0.6688083533756302,-0.024949372952169726,-0.673633069708607,-0.024949372952170885,-7.619556429449076e-17,-0.5630252100840327,-0.5630252100840327,0.44754604692521743
estT,-0.7390659560519327,-0.5630252100840323,-0.5630252100840327,-0.21637635612748873,-0.21637635612742434,-0.636883280233658,-0.5630252100840328,1,-0.5630252100840313,-0.5630252100840349,-0.5630252100840327,-0.6368832802336588,-0.5630252100840328,-0.5630252100840297,-0.66880835337563,-0.02494937295216963,-0.673633069708607,-0.02494937295217095,4.5850719095640474e-17,-0.5630252100840327,-0.5630252100840326,0.4475460469252172
floR,-0.7390659560519311,-0.5630252100840311,-0.5630252100840318,-0.21637635612748993,-0.2163763561274223,-0.6368832802336567,-0.5630252100840317,-0.5630252100840313,1,-0.5630252100840356,-0.5630252100840334,-0.636883280233659,-0.5630252100840331,-0.5630252100840301,-0.6688083533756304,-0.024949372952170097,-0.6736330697086074,-0.02494937295217117,4.76560854917449e-17,-0.5630252100840331,-0.5630252100840331,0.7948952176731504
lnu(B),-0.7390659560519356,-0.5630252100840344,-0.5630252100840349,-0.21637635612748957,-0.21637635612742542,-0.6368832802336606,-0.5630252100840352,-0.5630252100840349,-0.5630252100840356,1,-0.5630252100840263,-0.6368832802336513,-0.563025210084026,-0.9999999999999909,-0.6688083533756221,-0.02494937295216956,-0.6736330697085992,-0.024949372952171454,-2.67177458618079e-16,-0.563025210084026,-0.5630252100840263,0.4475460469252113
