,VC0175,VC0176,VC0177,VC0178,VC0179,VC0180,VC0181,VC0182,VC0183,VC0184,VC0185
 [[Clostridium[gi|16929xxxx],0,0,0,0,0,0,1,0,0,0,0
 [[Clostridium[gi|32598xxxx],0,0,0,1,0,0,0,0,0,0,0
 [[Clostridium[gi|47447xxxx],1,1,0,1,0,0,0,0,0,0,0
 [[Clostridium[gi|48076xxxx],0,1,0,0,0,0,0,0,0,0,0
 [[Clostridium[gi|52337xxxx],0,0,0,1,0,0,0,0,0,0,0
 [[Clostridium[gi|69427xxxx],0,1,0,0,0,0,0,0,0,0,0
Acaryochloris sp. CCMEE 5410[gi|49816xxxx],0,0,0,1,0,0,0,0,0,0,0
Acetivibrio cellulolyticus[gi|49793xxxx],1,0,0,0,0,0,0,0,0,0,0
Acetobacterium dehalogenans[gi|65125xxxx],1,0,0,0,0,0,0,0,0,0,0
Acetobacterium woodii DSM 1030[gi|37530xxxx],1,0,0,0,0,0,0,0,0,0,0
Acetobacterium woodii[gi|50412xxxx],1,0,0,0,0,0,0,0,0,0,0
Acetobacterium woodii[gi|75398xxxx],1,0,0,0,0,0,0,0,0,0,0
Acholeplasma granularum[gi|64727xxxx],1,0,0,0,0,0,0,0,0,0,0
Acholeplasma laidlawii PG-8A[gi|16198xxxx],1,0,0,0,0,0,0,0,0,0,0
Acholeplasma laidlawii[gi|50119xxxx],1,0,0,0,0,0,0,0,0,0,0
Achromobacter sp. 2789STDY5608607[gi|92861xxxx],0,0,0,1,1,1,0,0,0,0,0
Achromobacter sp. 2789STDY5608607[gi|93568xxxx],0,0,0,0,1,0,0,0,0,0,0
Achromobacter sp. 2789STDY5608608[gi|92861xxxx],0,0,0,1,1,1,0,0,0,0,0
Achromobacter sp. 2789STDY5608614[gi|92867xxxx],0,0,0,1,1,1,0,0,0,0,0
Achromobacter sp. 2789STDY5608615[gi|92874xxxx],0,0,0,1,1,1,0,0,0,0,0
Achromobacter sp. 2789STDY5608615[gi|93562xxxx],0,0,0,0,1,0,0,0,0,0,0
Achromobacter sp. 2789STDY5608617[gi|92865xxxx],0,0,0,1,1,1,0,0,0,0,0
Achromobacter xylosoxidans NBRC 15126 = ATCC 27061[gi|56605xxxx],0,0,0,1,0,1,0,0,0,0,0
Achromobacter xylosoxidans[gi|56819xxxx],0,0,0,0,0,1,0,0,0,0,0
Achromobacter xylosoxidans[gi|77719xxxx],0,0,0,1,1,1,0,0,0,0,0
Achromobacter xylosoxidans[gi|92328xxxx],0,0,0,1,1,1,0,0,0,0,0
Achromobacter xylosoxidans[gi|92329xxxx],0,0,0,1,1,1,0,0,0,0,0
Achromobacter xylosoxidans[gi|92330xxxx],0,0,0,1,1,1,0,0,0,0,0
Achromobacter xylosoxidans[gi|92331xxxx],0,0,0,1,1,1,0,0,0,0,0
Achromobacter xylosoxidans[gi|92872xxxx],0,0,0,1,1,1,0,0,0,0,0
Achromobacter xylosoxidans[gi|92873xxxx],0,0,0,1,1,1,0,0,0,0,0
Achromobacter xylosoxidans[gi|92876xxxx],0,0,0,1,1,1,0,0,0,0,0
Achromobacter xylosoxidans[gi|93561xxxx],0,0,0,0,1,0,0,0,0,0,0
Achromobacter[gi|93548xxxx],0,0,0,1,0,0,0,0,0,0,0
Acidaminococcus fermentans DSM 20731[gi|28395xxxx],1,0,0,0,0,0,0,0,0,0,0
Acidaminococcus fermentans[gi|50270xxxx],1,0,0,0,0,0,0,0,0,0,0
Acidaminococcus intestini CAG:325[gi|52444xxxx],1,0,0,0,0,0,0,0,0,0,0
Acidaminococcus intestini RyC-MR95[gi|35027xxxx],1,0,0,0,0,0,0,0,0,0,0
Acidaminococcus intestini[gi|22690xxxx],1,0,0,0,0,0,0,0,0,0,0
Acidaminococcus sp. BV3L6[gi|54435xxxx],1,0,0,0,0,0,0,0,0,0,0
Acidaminococcus sp. CAG:542[gi|52479xxxx],1,0,0,0,0,0,0,0,0,0,0
Acidaminococcus sp. CAG:917[gi|52477xxxx],1,0,0,0,0,0,0,0,0,0,0
Acidaminococcus sp. HPA0509[gi|51207xxxx],1,0,0,0,0,0,0,0,0,0,0
Acidaminococcus[gi|49630xxxx],1,0,0,0,0,0,0,0,0,0,0
Acidiphilium sp. JA12-A1[gi|63653xxxx],0,0,0,1,0,0,0,0,0,0,0
Acidiphilium sp. JA12-A1[gi|91718xxxx],0,0,0,1,0,0,0,0,0,0,0
Acidipropionibacterium acidipropionici ATCC 4875[gi|41082xxxx],0,0,0,0,0,1,0,0,0,0,0
