,VC0175,VC0176,VC0177,VC0178,VC0179,VC0180,VC0181,VC0182,VC0183,VC0184,VC0185
VC0175,1,-0.7051575487322236,-0.09053456162144533,-0.6212486554805478,0.15422331037877057,-0.17081533802397048,-0.28811844668407466,0.07320975811270895,-0.18952615631296618,-0.007528985661967789,-0.2032836064646714
VC0176,-0.7051575487322236,1,0.008717442607971578,-0.5498676880670677,0.16192887917237864,-0.1356887999816387,-0.26009142135304164,0.0767221519514377,-0.15509692701610348,-0.01812947333712778,-0.13930533816838145
VC0177,-0.09053456162144533,0.008717442607971578,1,-0.08036847623651101,0.03082249271042727,-0.026753665345841404,-0.021301234539063716,0.12933697075570516,0.04404457877442647,0.004755932968036746,0.02010652365427389
VC0178,-0.6212486554805478,-0.5498676880670677,-0.08036847623651101,1,0.2632282713551985,-0.10698261356339261,-0.21382161303699443,0.05349799941006339,-0.15169110127683672,-0.004794948477558481,-0.15399904528126132
VC0179,0.15422331037877057,0.16192887917237864,0.03082249271042727,0.2632282713551985,1,0.5433655705423002,0.16594121336197845,-0.025846651091427114,0.03477921303843383,-0.015209304891345952,0.08552051016925248
VC0180,-0.17081533802397048,-0.1356887999816387,-0.026753665345841404,-0.10698261356339261,0.5433655705423002,1,0.16214401001721274,0.032135850205143916,-0.033412566316301025,-0.001520695886776636,-0.011892286964066473
VC0181,-0.28811844668407466,-0.26009142135304164,-0.021301234539063716,-0.21382161303699443,0.16594121336197845,0.16214401001721274,1,0.03782728931591887,-0.06774260114038322,0.003480583528026101,-0.08802324572362356
VC0182,0.07320975811270895,0.0767221519514377,0.12933697075570516,0.05349799941006339,-0.025846651091427114,0.032135850205143916,0.03782728931591887,1,0.05258901237102482,0.3531817453399749,0.057241498416004864
VC0183,-0.18952615631296618,-0.15509692701610348,0.04404457877442647,-0.15169110127683672,0.03477921303843383,-0.033412566316301025,-0.06774260114038322,0.05258901237102482,1,0.3375229210706567,0.41428865005284676
VC0184,-0.007528985661967789,-0.01812947333712778,0.004755932968036746,-0.004794948477558481,-0.015209304891345952,-0.001520695886776636,0.003480583528026101,0.3531817453399749,0.3375229210706567,1,0.2159753679959196
VC0185,-0.2032836064646714,-0.13930533816838145,0.02010652365427389,-0.15399904528126132,0.08552051016925248,-0.011892286964066473,-0.08802324572362356,0.057241498416004864,0.41428865005284676,0.2159753679959196,1
