,VC0175,VC0176,VC0177,VC0178,VC0179,VC0180,VC0181,VC0182,VC0183,VC0184,VC0185
0,Vibrio parahaemolyticus[gi|52624xxxx],Vibrio owensii[gi|51904xxxx],Vibrio vulnificus[gi|78269xxxx],Vibrio[gi|44705xxxx],Vibrio albensis[gi|48783xxxx],Vibrio[gi|48783xxxx],Vibrio[gi|48781xxxx],Vibrio[gi|44596xxxx],Vibrio vulnificus[gi|78269xxxx],Vibrio nereis[gi|92299xxxx],Vibrio anguillarum[gi|50362xxxx]
1,Vibrio parahaemolyticus O1:Kuk str. FDA_R31[gi|52382xxxx],Vibrio owensii CAIM 1854 = LMG 25443[gi|74703xxxx],Vibrio parahaemolyticus[gi|64654xxxx],Vibrio parahaemolyticus[gi|64654xxxx],Vibrio albensis VL426[gi|22933xxxx],Vibrio albensis VL426[gi|22933xxxx],Vibrio parahaemolyticus[gi|49159xxxx],Vibrio[gi|44596xxxx],Vibrio parahaemolyticus[gi|64654xxxx],Vibrio nereis[gi|92281xxxx],Vibrio anguillarum 775[gi|33534xxxx]
2,Vibrio parahaemolyticus[gi|92110xxxx],Vibrio[gi|44593xxxx],Photobacterium sp. SKA34[gi|49369xxxx],Vibrio sp. RC586[gi|44705xxxx],Vibrio metoecus[gi|26083xxxx],Vibrio metoecus[gi|26083xxxx],Vibrio harveyi CAIM 1792[gi|47134xxxx],Vibrio parahaemolyticus[gi|64654xxxx],Vibrio vulnificus[gi|78275xxxx],Vibrio vulnificus[gi|78275xxxx],Vibrio anguillarum M3[gi|53737xxxx]
3,Photobacterium phosphoreum ANT-2200[gi|75879xxxx],Vibrio metoecus[gi|26083xxxx],Photobacterium sp. SKA34[gi|8905xxxx],Vibrio sp. RC586[gi|26234xxxx],Vibrio sp. RC586[gi|26234xxxx],Vibrio sp. RC586[gi|49673xxxx],Vibrio parahaemolyticus[gi|64654xxxx],Vibrio vulnificus[gi|78269xxxx],Vibrio sp. RC586[gi|44611xxxx],Vibrio anguillarum[gi|65624xxxx],Vibrio anguillarum[gi|65624xxxx]
4,Vibrio parahaemolyticus[gi|64733xxxx],Vibrio parahaemolyticus[gi|64635xxxx],Photobacterium sp. SKA34[gi|49369xxxx],Vibrio harveyi[gi|49159xxxx],Vibrio parahaemolyticus[gi|64635xxxx],Vibrio sp. RC586[gi|26234xxxx],Moritella marina[gi|51827xxxx],Vibrio nereis[gi|92299xxxx],Vibrio sp. RC586[gi|26234xxxx],Vibrio anguillarum[gi|69210xxxx],Vibrio anguillarum[gi|69210xxxx]
5,Vibrio[gi|51561xxxx],Vibrio[gi|78017xxxx],Photobacterium sp. SKA34[gi|8904xxxx],Vibrio harveyi CAIM 1792[gi|47134xxxx],Vibrio parahaemolyticus[gi|64654xxxx],Vibrio parahaemolyticus[gi|64654xxxx],Kosakonia radicincitans[gi|73792xxxx],Vibrio nereis[gi|92281xxxx],Vibrio anguillarum[gi|51811xxxx],Vibrio[gi|44614xxxx],Vibrio vulnificus[gi|78275xxxx]
6,Vibrio harveyi[gi|91588xxxx],Vibrio[gi|88081xxxx],Vibrio sp. MED222[gi|49753xxxx],Vibrio harveyi group[gi|64635xxxx],Vibrio harveyi CAIM 1792[gi|47134xxxx],Vibrio harveyi[gi|49159xxxx],Kosakonia radicincitans UMEnt01/12[gi|63519xxxx],Vibrio anguillarum[gi|50362xxxx],Vibrio nereis[gi|92299xxxx],Vibrio metoecus[gi|26083xxxx],Vibrio parahaemolyticus[gi|64654xxxx]
7,Aeromonas veronii[gi|76014xxxx],Vibrio crassostreae[gi|85789xxxx],Vibrio sp. MED222[gi|8583xxxx],Vibrio[gi|44599xxxx],Moritella marina[gi|51827xxxx],Vibrio harveyi CAIM 1792[gi|47134xxxx],Aeromonas salmonicida[gi|49145xxxx],Vibrio anguillarum 775[gi|33534xxxx],Vibrio nereis[gi|92281xxxx],Vibrio sp. RC586[gi|26234xxxx],Vibrio vulnificus[gi|78269xxxx]
8,Aeromonas[gi|75253xxxx],Vibrio crassostreae[gi|85790xxxx],Vibrio parahaemolyticus[gi|65901xxxx],Vibrio albensis VL426[gi|22933xxxx],Kosakonia radicincitans[gi|73792xxxx],Vibrio parahaemolyticus[gi|64635xxxx],Aeromonas salmonicida subsp. salmonicida A449[gi|14285xxxx],Vibrio anguillarum M3[gi|53737xxxx],Vibrio parahaemolyticus[gi|64733xxxx],Vibrio parahaemolyticus[gi|64654xxxx],Vibrio nereis[gi|92299xxxx]
9,Aeromonas enteropelogenes[gi|84828xxxx],Vibrio crassostreae[gi|85794xxxx],Vibrio parahaemolyticus[gi|72613xxxx],Vibrio metoecus[gi|26083xxxx],Kosakonia radicincitans UMEnt01/12[gi|63519xxxx],Moritella marina[gi|64825xxxx],Aeromonas salmonicida subsp. salmonicida 01-B526[gi|35668xxxx],Vibrio anguillarum[gi|69210xxxx],Vibrio harveyi[gi|49159xxxx],Vibrio vulnificus[gi|78269xxxx],Vibrio nereis[gi|92281xxxx]
