,VC0175,VC0176,VC0177,VC0178,VC0179,VC0180,VC0181,VC0182,VC0183,VC0184,VC0185
VC0175,,-0.5115134487840972,-0.14384449734252924,-0.3581469352481916,-0.1601210165372734,-0.1989929659487155,-0.17819678869343386,-0.09421539228916465,-0.23397264794624245,-0.16203207901671737,-0.2519332366297958
VC0176,,,0.11565976753900836,-0.19520886619106392,0.004002451496852051,-0.029984165660495842,-0.07791618165049982,0.04252496278129261,0.000544511715007996,0.0032733289983079214,0.017281824450265847
VC0177,,,,-0.06451539782983104,0.01719067880182781,0.004922774042494184,-0.0025549673474472797,0.1970823130027718,0.17843554865701866,0.16047007358137966,0.16453338548925953
VC0178,,,,,0.24031340156547668,0.137895642195872,0.0462047816786516,-0.03559371693521492,-0.08234331133776793,-0.056743009212849894,-0.07087151567094849
VC0179,,,,,,0.5918150580304271,0.2947840515430905,0.020160905463754635,0.035664969434579086,0.02108672812957822,0.07485390437000555
VC0180,,,,,,,0.3485348080742081,0.03727443267525044,0.03669222033148719,0.031606741603765635,0.06701479167156667
VC0181,,,,,,,,0.01485075056394906,-0.013723067026966943,-0.0016441521149552823,-0.009921334227757003
VC0182,,,,,,,,,0.3566396184880492,0.49688455836936185,0.33321568058935774
VC0183,,,,,,,,,,0.6063059187060353,0.6537268802807575
VC0184,,,,,,,,,,,0.5507782709301505
VC0185,,,,,,,,,,,
